Sample_ID,site,habitat,position,number,latitude,longitude,elevation,pH
Plant_B39_2,Arayu-Jigoku,Forest edge,39,2,38.818895,140.728855,592,2.49
Plant_B39_3,Arayu-Jigoku,Forest edge,39,3,38.818895,140.728855,592,2.49
Plant_B39_4,Arayu-Jigoku,Forest edge,39,4,38.818895,140.728855,592,2.49
Plant_B39_5,Arayu-Jigoku,Forest edge,39,5,38.818895,140.728855,592,2.49
Plant_B39_6,Arayu-Jigoku,Forest edge,39,6,38.818895,140.728855,592,2.49
Plant_B40_1,Arayu-Jigoku,Forest edge,40,1,38.818815,140.72892,592,2.23
Plant_B40_2,Arayu-Jigoku,Forest edge,40,2,38.818815,140.72892,592,2.23
Plant_B40_3,Arayu-Jigoku,Forest edge,40,3,38.818815,140.72892,592,2.23
Plant_JA1_1,Ofukasawa,Solfatara field,1,1,38.811815,140.713531,528,3.16
Plant_JA1_2,Ofukasawa,Solfatara field,1,2,38.811815,140.713531,528,3.16
Plant_JA1_3,Ofukasawa,Solfatara field,1,3,38.811815,140.713531,528,3.16
Plant_JA2_1,Ofukasawa,Solfatara field,2,1,38.811778,140.713465,529,2.88
Plant_JA2_2,Ofukasawa,Solfatara field,2,2,38.811778,140.713465,529,2.88
Plant_JA3_1,Ofukasawa,Solfatara field,3,1,38.81176,140.713371,530,3.07
Plant_JA3_2,Ofukasawa,Solfatara field,3,2,38.81176,140.713371,530,3.07
Plant_JA3_3,Ofukasawa,Solfatara field,3,3,38.81176,140.713371,530,3.07
Plant_JA4_1,Ofukasawa,Solfatara field,4,1,38.811671,140.713383,529,2.86
Plant_JA4_2,Ofukasawa,Solfatara field,4,2,38.811671,140.713383,529,2.86
Plant_JA4_3,Ofukasawa,Solfatara field,4,3,38.811671,140.713383,529,2.86
Plant_JA4_4,Ofukasawa,Solfatara field,4,4,38.811671,140.713383,529,2.86
Plant_JA5_1,Ofukasawa,Solfatara field,5,1,38.811579,140.713344,528,3.49
Plant_JA5_2,Ofukasawa,Solfatara field,5,2,38.811579,140.713344,528,3.49
Plant_JA6_1,Ofukasawa,Solfatara field,6,1,38.811523,140.713291,528,2.91
Plant_JA6_2,Ofukasawa,Solfatara field,6,2,38.811523,140.713291,528,2.91
Plant_JA6_3,Ofukasawa,Solfatara field,6,3,38.811523,140.713291,528,2.91
Plant_JA7_1,Ofukasawa,Solfatara field,7,1,38.811427,140.713116,529,2.96
Plant_JA8_1,Ofukasawa,Solfatara field,8,1,38.811137,140.712504,528,3.52
Plant_JA8_2,Ofukasawa,Solfatara field,8,2,38.811137,140.712504,528,3.52
Plant_JA9_1,Ofukasawa,Solfatara field,9,1,38.81108,140.712355,527,2.79
Plant_JA9_2,Ofukasawa,Solfatara field,9,2,38.81108,140.712355,527,2.79
Plant_JA9_3,Ofukasawa,Solfatara field,9,3,38.81108,140.712355,527,2.79
Plant_JA10_1,Ofukasawa,Solfatara field,10,1,38.811145,140.712869,526,3.12
Plant_JA10_2,Ofukasawa,Solfatara field,10,2,38.811145,140.712869,526,3.12
Plant_JA11_1,Ofukasawa,Solfatara field,11,1,38.811121,140.712915,526,3.11
Plant_JA11_2,Ofukasawa,Solfatara field,11,2,38.811121,140.712915,526,3.11
Plant_JA12_1,Ofukasawa,Solfatara field,12,1,38.811169,140.712923,527,4.24
Plant_JA12_2,Ofukasawa,Solfatara field,12,2,38.811169,140.712923,527,4.24
